,ManagerID,ClubID,Username,AdminPrivilege,Password,SaltedPassword
0,0,0,chloeozzy,1,walk51song,/RVHMuMp9XsHYGRbAvAs4eST9bwcph/yjXe2shxvqat0IESwhNrPS
1,1,1,muttiesreeping,1,systemprobable78,afWtxExfsqS1KDjNeFSIwuS0isuLLFq8PvhKCMpvlDm3fCE1d4nsu
2,2,2,poppyovercast,1,surprisehe93,Zd12NLpQVvDLCyJIS/WhSuvUh4RUo8bGTicG5kz7BqyKIvalT.drC
3,3,3,refluxanthology,1,migrate13state,vVBLdXIFhV6fAikTTIoC..KHWghW1H0DF/6euKa.Snf4U26n9Arf2
4,4,4,ludibriousjump,1,26liesudden,/afE9SL2gASep7VEdM8s2OaoYT7.qDfHwVH7QkZm8fTZvPyRyi4ri
5,5,5,wekivadesk,1,garden64any,1kAZeHk4qydcIrVpKFV5b.5CjeFHtslaAYNt6bniPkh7upw2bsybS
6,6,6,coalitionpolicy,1,gather13sugar,eo3gM3hEVdwFt7YQtvzezuzLYf.bV9MhWnbux0mnVw8ghtnqit.fW
7,7,7,crierbedswerver,1,create86bit,.cRl9rFB/j6iasgyDS/RsuiYemjVm7P8klry0O30LeN79sm9vAoZe
8,8,8,publishernutcracker,1,hugereach59,UYJ6o1bxT3SnOnjuR8Ib1uDPoZnJ6qNvhUS4JKedeIFCHQ70eBVRS
9,9,9,execbusan,1,11groundbeen,NTRDo.949sZUX20JAtXKbOhFpPA1tEbrMB0jhJdG8dgdI.XbffS2q
10,10,10,booeshairs,1,see46bring,j3cgd2E5FY4CXBjJcVFyFOAN7FuLJPQ9pYAAVb6g8B64V.QFlZJE.
11,11,11,pebbleswarming,1,48answeralso,I.NOv4/5eO6cDbGY2rERNuIggNaqVnWUOD.XuD1LjGruKpcmMmNii
12,12,12,tarffcareers,1,79toldjoin,FfwrdKflQrgRHYE8xbBvWO.ETXFIa3gJIe9NzI8QE6WcFP3DnUuz6
13,13,13,irateflotilla,1,16companyword,scWpTGj7dVpVGfdRqqjG/.Zup36YhT8vAihZTJ4KkG2n8V9Treqnu
14,14,14,villagegregarious,1,control9fly,ylg6/W94iY8QtPfrVQbtXOZMJYMt84JMU/.PqclWxEL6RqZ9eX2Ye
15,15,15,borsezipping,1,pagewood56,maXhQSL58YYosCdfuOeH8.jJ/EfcLXEXU.dxkOm94eKIJeJM0aGwG
16,16,16,oppressedelderly,1,root15there,ZISux56w27auhkRwCbTqt.0Ri/Lkq3Dcw5DdrJi/X7IN07.bQW.j.
17,17,17,datastatute,1,73deepstation,wXFf.uSdWr8oFQ3fh/3pweAv0eJ0sf4p0qt6xyQH73Lb7.hpYZyGq
18,18,18,chopinenzyme,1,object27bacon,j/1c8OCZWnQIQaQ1hNWxd.gEu6qpHKhf5k.TbnNACCY2DrZL6jSaS
19,19,19,spellingjob,1,governpractice71,1Cvohq.YbyiNn/CfFdvAa.f.kQEt0bzbbo2YKXjSrBdxea..DsFPm
