ManagerID,ClubID,Username,AdminPrivilege,Password,SaltedPassword
1,1,chloeozzy,1,walk51song,$2b$12$ZZ8Qe4soOoDzZF5JfP3TxuGZkQXcygD.tAWPmUmmI9UBW5hG1Z2HG
2,2,muttiesreeping,1,systemprobable78,$2b$12$hAMjuZrVPxsokdPyYnJqMemM5X87Q8Jiy.oFGfAzdDUxvob0D1Ti6
3,3,poppyovercast,1,surprisehe93,$2b$12$F36Ur1euYB42sj0C1poCFOCQMgxBgDZgeMsEEid.PEGQlC.VwvU2O
4,4,refluxanthology,1,migrate13state,$2b$12$7yA36CS6r3.3T9Y32cBxfuxjPPhVXoPyP/sLPUcKnaPa/6XxIAiQ.
5,5,ludibriousjump,1,26liesudden,$2b$12$G5aJ5G4469Hpb/343z96k.hfUVyG23M97gvq6cfCL5FxxZh/b9Dj.
6,6,wekivadesk,1,garden64any,$2b$12$yNMfNMYp.fUFrsr3xZImmOF.HOVCdlgs6ysfreuA3lBKtpNZfYrZC
7,7,coalitionpolicy,1,gather13sugar,$2b$12$Xib8UN125oIo7aS4sl3ScuME14A7VrwL0W4LlJtO7VvfcfToDyBfq
8,8,crierbedswerver,1,create86bit,$2b$12$QE3PntPTcXmkqfuRJqbRc.4KG0Tr5CJPy7sdoF9HpwFoPGL6xA99u
9,9,publishernutcracker,1,hugereach59,$2b$12$sXUC0QhNXyT/9EVe2PlxwusWRDGq5kqggoA1p9rUMXT5bMreId.8i
10,10,execbusan,1,11groundbeen,$2b$12$szu0Q.dvCDluKEE5yxDZo.BwD9jBApOs45UXYlSFTT2kuXbQacD3C
11,11,booeshairs,1,see46bring,$2b$12$4r8R9ByF9Tdo/H5Et.XMX..mJvLsWA.6QE4KFpvAGWpXw0BgkPIK.
12,12,pebbleswarming,1,48answeralso,$2b$12$IyROLyj2qyLNTFJwGkdHWOosjfJrdsRl/J69FRJdX/P.ppzvBkWLC
13,13,tarffcareers,1,79toldjoin,$2b$12$Df3a.3adSvuyAJKdf5NEY.LBhhSrxQaMM7hielHqOxZbXc5wklV3q
14,14,irateflotilla,1,16companyword,$2b$12$AVoPEH95EnATXCn8Gg2Te.Agv33lNgbt84F./ulDsFTN.S5NSQvCG
15,15,villagegregarious,1,control9fly,$2b$12$rQco0ZrbzzHDpGit63yJJO7VcyM7I9txLw17hEag2uVIEZOKfdVHm
16,16,borsezipping,1,pagewood56,$2b$12$KshmiBP8X78hVFXdzrf83.zSx32c1ycNtK55UgHrsNgM8zA7gs6pK
17,17,oppressedelderly,1,root15there,$2b$12$W3Pv39jRxhYTR4i2tIJC..vmKAuLEPn9QtxkEkY/POYCVLaI8Ldj6
18,18,datastatute,1,73deepstation,$2b$12$dTheNy1HXHTcRxn/9TqHVenMYmAxQJMYA5kkG45rD7aofAOOoZuRO
19,19,chopinenzyme,1,object27bacon,$2b$12$P/9zsil1qW9Gk6sMebAsvuymayNQfrAYUqrl.quwUBjbONFFqpc0.
20,20,spellingjob,1,governpractice71,$2b$12$pyulowRCaQQHVGwCy9cWCOJ6dypwK4eGjSaDJuZ8EdRK2U7Dw4/5O
